p_code,region_code,region,proposed_position,"name, surname, title",titles,number_titles,mgr,ing,phd,mba,full name,name,surname,sex,age,proposed party,affiliation,party code,elected,votes,votes_pct
201701,2,Středočeský,1,Rakušan Vít Mgr.,Mgr.,1,1,0,0,0,Rakušan Vít ,Vít ,Rakušan ,1,43,STAN,STAN,17,1,59792,43.47
101301,1,Hl. m. Praha,1,Pekarová Adamová Markéta Ing.,Ing.,1,0,1,0,0,Pekarová Adamová Markéta ,Markéta ,Pekarová Adamová ,0,37,TOP 09,TOP 09,13,1,49074,19.54
1101301,11,Jihomoravský,1,"Fiala Petr prof. PhDr. Ph.D., LL.M.","prof. PhDr. Ph.D., LL.M.",4,0,0,1,0,Fiala Petr ,Petr ,Fiala ,1,57,ODS,ODS,13,1,38555,20.56
602001,6,Ústecký,1,Babiš Andrej Ing.,Ing.,1,0,1,0,0,Babiš Andrej ,Andrej ,Babiš ,1,67,ANO,ANO,20,1,38277,28.49
101302,1,Hl. m. Praha,2,Černochová Jana Mgr.,Mgr.,1,1,0,0,0,Černochová Jana ,Jana ,Černochová ,0,47,ODS,ODS,13,1,35583,14.17
101701,1,Hl. m. Praha,1,Richterová Olga PhDr. Ph.D.,PhDr. Ph.D.,2,0,0,1,0,Richterová Olga ,Olga ,Richterová ,0,36,Piráti,Piráti,17,1,32888,23.14
101307,1,Hl. m. Praha,7,Žáček Pavel PhDr. Ph.D.,PhDr. Ph.D.,2,0,0,1,0,Žáček Pavel ,Pavel ,Žáček ,1,52,ODS,ODS,13,1,31347,12.48
201303,2,Středočeský,3,Kupka Martin Mgr.,Mgr.,1,1,0,0,0,Kupka Martin ,Martin ,Kupka ,1,45,ODS,ODS,13,1,30286,14.91
101306,1,Hl. m. Praha,6,Svoboda Bohuslav doc. MUDr. CSc.,doc. MUDr. CSc.,2,0,0,0,0,Svoboda Bohuslav ,Bohuslav ,Svoboda ,1,77,ODS,ODS,13,1,29033,11.56
201704,2,Středočeský,4,Lochman Ondřej Mgr. Ph.D.,Mgr. Ph.D.,2,1,0,1,0,Lochman Ondřej ,Ondřej ,Lochman ,1,40,STAN,STAN,17,1,27656,20.1
101304,1,Hl. m. Praha,4,Kolář Ondřej Mgr.,Mgr.,1,1,0,0,0,Kolář Ondřej ,Ondřej ,Kolář ,1,37,TOP 09,TOP 09,13,1,27259,10.85
101703,1,Hl. m. Praha,3,Lacina Jan Mgr.,Mgr.,1,1,0,0,0,Lacina Jan ,Jan ,Lacina ,1,51,STAN,STAN,17,1,26117,18.37
201707,2,Středočeský,7,Kovářová Věra Ing.,Ing.,1,0,1,0,0,Kovářová Věra ,Věra ,Kovářová ,0,57,STAN,STAN,17,1,25367,18.44
